,Posted On,BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,house_floor,no_floor
0,5/18/2022,2,10000,1100,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
1,5/13/2022,2,20000,800,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
2,5/16/2022,2,17000,1000,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
3,7/4/2022,2,10000,800,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
4,5/9/2022,2,7500,850,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
5,4/29/2022,2,7000,600,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
6,6/21/2022,2,10000,700,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent,Ground,4
7,6/21/2022,1,5000,250,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent,1,2
8,6/7/2022,2,26000,800,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent,1,2
9,6/20/2022,2,10000,1000,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
10,5/23/2022,3,25000,1200,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,1,4
11,6/7/2022,1,5000,400,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,1
12,5/14/2022,1,6500,250,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner,1,4
13,5/9/2022,1,5500,375,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
14,5/5/2022,3,8500,900,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner,Ground,2
15,6/1/2022,3,40000,1286,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1,1
16,5/17/2022,2,6000,600,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
17,6/20/2022,2,10000,800,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
18,6/9/2022,2,11000,2000,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
19,6/9/2022,2,6000,660,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
20,7/2/2022,2,7900,650,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner,1,2
21,6/14/2022,2,9000,400,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner,2,3
22,6/15/2022,1,4000,300,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,4
23,6/15/2022,3,6500,1600,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
